iter	RMSE
0	36.96997609
1	35.39889023
2	33.97848426
3	32.73245328
4	31.57209285
5	30.61920662
6	29.82517826
7	29.11297832
8	28.52888983
9	28.07558556
10	27.56456207
11	27.18066003
12	26.74457974
13	26.39723244
14	26.10920906
15	25.83118215
16	25.62718386
17	25.38862875
18	25.22239921
19	25.03542622
20	24.87326879
21	24.67954354
22	24.56510926
23	24.42825669
24	24.29418784
25	24.25011473
26	24.07679564
27	24.05455147
28	23.95819315
29	23.78678934
30	23.68293658
31	23.59574962
32	23.55414634
33	23.5289833
34	23.48510207
35	23.4143683
36	23.31603992
37	23.2891287
38	23.20404641
39	23.16164248
40	23.14594867
41	23.12136026
42	23.01601565
43	23.00208615
44	22.92929341
45	22.87889771
46	22.81048221
47	22.79798878
48	22.74883562
49	22.65783848
50	22.64471515
51	22.59658758
52	22.58469584
53	22.51953168
54	22.45656025
55	22.44527962
56	22.43343796
57	22.42283121
58	22.41346545
59	22.34808413
60	22.30654349
61	22.25106343
62	22.20444521
63	22.14840382
64	22.07016948
65	22.00659925
66	21.99343885
67	21.95873778
68	21.9106495
69	21.86298658
70	21.8575276
71	21.79584462
72	21.74108195
73	21.71247829
74	21.6828762
75	21.64438986
76	21.6031622
77	21.57288834
78	21.52071401
79	21.4680593
80	21.45989633
81	21.39672351
82	21.38390579
83	21.34986866
84	21.30824033
85	21.29288052
86	21.26228509
87	21.20128291
88	21.13816632
89	21.11237679
90	21.08144266
91	21.04067679
92	21.02588568
93	20.97024649
94	20.95288711
95	20.91385961
96	20.88064272
97	20.85301598
98	20.80373711
99	20.7987079
