iter	Passed	Remaining
0	57	5730
1	58	2886
2	59	1935
3	60	1460
4	62	1179
5	63	988
6	64	850
7	64	746
8	65	665
9	66	599
10	67	547
11	68	502
12	69	464
13	70	431
14	71	402
15	71	376
16	72	354
17	73	334
18	74	316
19	75	300
20	76	286
21	77	273
22	77	261
23	78	249
24	79	238
25	80	228
26	81	219
27	81	210
28	82	202
29	83	194
30	84	187
31	84	180
32	85	173
33	86	167
34	87	161
35	87	156
36	88	151
37	89	145
38	90	141
39	91	136
40	91	132
41	92	127
42	93	123
43	94	119
44	94	115
45	95	112
46	96	108
47	97	105
48	97	101
49	98	98
50	99	95
51	99	92
52	100	89
53	101	86
54	102	83
55	103	80
56	103	78
57	104	75
58	105	73
59	105	70
60	106	68
61	107	65
62	108	63
63	109	61
64	109	59
65	110	56
66	111	54
67	112	52
68	112	50
69	113	48
70	114	46
71	114	44
72	115	42
73	116	40
74	117	39
75	118	37
76	118	35
77	119	33
78	120	31
79	121	30
80	121	28
81	122	26
82	123	25
83	123	23
84	124	22
85	125	20
86	126	18
87	126	17
88	127	15
89	128	14
90	129	12
91	129	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	135	1
99	136	0
